run_id,epoch,learning_rate,next_learning_rate,learning_rate_reduced,online_train_loss,online_train_accuracy,validation_loss,validation_accuracy,epoch_seconds,is_best_checkpoint
samples_4700_lr_0.008_pad_0_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,1,0.008,0.008,False,3.086685423922708,18.93617021276596,2.1093747404949705,39.361702127659576,268.27745884799515,True
samples_4700_lr_0.008_pad_0_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,2,0.008,0.008,False,1.6547135623231222,48.829787234042556,1.5332428346191163,54.8936170212766,269.1443705299971,True
samples_4700_lr_0.008_pad_0_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,3,0.008,0.008,False,1.2084658060318285,61.702127659574465,1.323042668317868,60.42553191489362,268.6619931690002,True
samples_4700_lr_0.008_pad_0_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,4,0.008,0.008,False,0.9854542003444308,67.97872340425532,1.2827229808885392,61.27659574468085,269.7840258540018,True
samples_4700_lr_0.008_pad_0_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,5,0.008,0.008,False,0.8443243555758385,71.70212765957447,1.231345900764779,62.97872340425532,269.1427887710015,True
samples_4700_lr_0.008_pad_0_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,6,0.008,0.004,True,0.7403181469949681,74.30851063829788,1.2724142242943748,67.02127659574468,269.8584199120014,False
samples_4700_lr_0.008_pad_0_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,7,0.004,0.004,False,0.49855478384890445,82.3936170212766,1.0943076668831175,69.14893617021278,269.9494474300009,True
samples_4700_lr_0.008_pad_0_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,8,0.004,0.002,True,0.40648600266523194,85.0,1.170584744154498,69.36170212765957,269.27342097300425,False
samples_4700_lr_0.008_pad_0_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,9,0.002,0.001,True,0.29821230466884396,89.14893617021276,1.1574475760064789,71.06382978723404,269.6844629480038,False
samples_4700_lr_0.008_pad_0_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,10,0.001,0.001,False,0.2345093408894187,91.94148936170212,1.164240844517803,71.06382978723404,269.2190060299981,False
