run_id,epoch,online_train_loss,online_train_accuracy,validation_loss,validation_accuracy,epoch_seconds
samples_10000_lr_0.008_pad_1_epochs_10,1,1.7829985590678956,48.77346683354193,1.0879858981266137,65.75481256332321,756.5415628029987
samples_10000_lr_0.008_pad_1_epochs_10,2,0.8691220937891335,71.71464330413016,0.9295719164975864,70.7193515704154,756.6976517179974
samples_10000_lr_0.008_pad_1_epochs_10,3,0.6613175907346464,77.88485607008761,0.8870730418017706,72.64437689969606,755.8275975620018
samples_10000_lr_0.008_pad_1_epochs_10,4,0.554695774307683,80.76345431789737,0.9054741151986876,73.86018237082067,758.6158432550001
samples_10000_lr_0.008_pad_1_epochs_10,5,0.4659590572599097,83.27909887359199,0.8422623130703448,74.0628166160081,756.0294278769979
samples_10000_lr_0.008_pad_1_epochs_10,6,0.3939706621191481,85.45682102628285,0.9727173178670679,72.23910840932118,761.9231957420016
samples_10000_lr_0.008_pad_1_epochs_10,7,0.3408802494290781,87.49687108886107,0.8989059293567274,75.88652482269504,760.3635569529979
samples_10000_lr_0.008_pad_1_epochs_10,8,0.2904244264751506,88.93617021276596,0.9742267145383379,74.0628166160081,758.7440359119973
samples_10000_lr_0.008_pad_1_epochs_10,9,0.26374445328984436,89.98748435544431,1.0314634242286855,74.5694022289767,759.9183472229997
samples_10000_lr_0.008_pad_1_epochs_10,10,0.2310942960903254,91.36420525657071,1.0947177313405454,74.87335359675785,759.6912187659982
