run_id,epoch,learning_rate,next_learning_rate,learning_rate_reduced,online_train_loss,online_train_accuracy,validation_loss,validation_accuracy,epoch_seconds,is_best_checkpoint
samples_2350_lr_0.008_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,1,0.008,0.008,False,3.386155520414134,12.127659574468085,2.6816771543209956,28.085106382978726,211.56653315800008,True
samples_2350_lr_0.008_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,2,0.008,0.008,False,1.953262386289489,42.6063829787234,1.6362551976286484,53.191489361702125,211.79752277900002,True
samples_2350_lr_0.008_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,3,0.008,0.008,False,1.277687802366592,60.744680851063826,1.4535834179389326,55.74468085106383,211.60336424699994,True
samples_2350_lr_0.008_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,4,0.008,0.008,False,0.9670105579834327,69.25531914893617,1.1887497890002041,68.51063829787233,211.665740572,True
samples_2350_lr_0.008_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,5,0.008,0.008,False,0.7664549177956091,73.67021276595744,1.183924745143409,68.08510638297872,211.58542287799992,True
samples_2350_lr_0.008_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,6,0.008,0.004,True,0.5953882085094722,80.0531914893617,1.2665317652460157,61.702127659574465,212.43122384100025,False
samples_2350_lr_0.008_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,7,0.004,0.002,True,0.32346532976382125,88.88297872340426,1.237459082646631,69.36170212765957,212.5827379289999,False
samples_2350_lr_0.008_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,8,0.002,0.002,False,0.191715095939111,93.67021276595744,1.1498881515873935,70.2127659574468,212.44492050500003,True
samples_2350_lr_0.008_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,9,0.002,0.001,True,0.15148260244839962,95.63829787234043,1.1774716493681734,68.51063829787233,211.86221409300015,False
samples_2350_lr_0.008_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7,10,0.001,0.001,False,0.12076561919370997,96.96808510638299,1.1985860567481297,70.63829787234043,211.49781635499994,False
