max_samples_requested,samples_used,train_samples,validation_samples,test_samples,learning_rate,learning_rate_decay_factor,learning_rate_scheduler,learning_rate_plateau_patience,minimum_learning_rate,final_learning_rate,learning_rate_reductions,padding,hidden_nodes,epochs,completed_epochs,best_epoch,best_validation_loss,best_validation_accuracy,stopped_early,early_stopping_min_epochs,final_validation_loss,final_validation_accuracy,test_loss,test_accuracy,macro_f1,training_and_test_seconds,model_parameters,mean_inference_ms,run_id
4700,4700,3760,470,470,0.002,0.5,reduce_on_validation_loss_plateau,1,0.001,0.001,1,1,64,10,10,9,0.9554654147383281,71.27659574468085,False,7,1.0220639000921747,70.85106382978724,0.9433683171124796,0.723404255319149,0.720147873148234,4249.647272029,40687,41.756312368082206,samples_4700_lr_0.002_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7
4700,4700,3760,470,470,0.004,0.5,reduce_on_validation_loss_plateau,1,0.001,0.001,2,1,64,10,10,7,0.9052330874522279,73.40425531914893,False,7,0.9894023032057728,73.61702127659574,0.9153001259233117,0.7276595744680852,0.7214408888110712,4247.398074264998,40687,41.45471810638327,samples_4700_lr_0.004_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7
4700,4700,3760,470,470,0.008,0.5,reduce_on_validation_loss_plateau,1,0.001,0.001,3,1,64,10,8,4,1.0360335068096551,66.59574468085107,True,7,1.0677600407838246,73.82978723404256,0.9629297017162787,0.6872340425531915,0.6747586190972403,3413.940153489,40687,41.491546238298625,samples_4700_lr_0.008_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7
4700,4700,3760,470,470,0.012,0.5,reduce_on_validation_loss_plateau,1,0.001,0.001,4,1,64,10,8,4,0.9563829624958059,71.27659574468085,True,7,0.9830121299068674,74.68085106382979,0.923008498112173,0.7063829787234043,0.6941197941244623,3410.4850037170036,40687,41.42828155957606,samples_4700_lr_0.012_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7
