max_samples_requested,samples_used,train_samples,validation_samples,test_samples,learning_rate,learning_rate_decay_factor,learning_rate_scheduler,learning_rate_plateau_patience,minimum_learning_rate,final_learning_rate,learning_rate_reductions,padding,hidden_nodes,epochs,completed_epochs,best_epoch,best_validation_loss,best_validation_accuracy,stopped_early,early_stopping_min_epochs,final_validation_loss,final_validation_accuracy,test_loss,test_accuracy,macro_f1,training_and_test_seconds,model_parameters,mean_inference_ms,run_id
2350,2350,1880,235,235,0.008,0.5,reduce_on_validation_loss_plateau,1,0.001,0.001,3,1,64,10,10,8,1.1498881515873935,70.2127659574468,False,7,1.1985860567481297,70.63829787234043,1.2504352097788396,0.6510638297872341,0.631917845747633,2128.744954627,40687,41.302479599999835,samples_2350_lr_0.008_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7
4700,4700,3760,470,470,0.008,0.5,reduce_on_validation_loss_plateau,1,0.001,0.001,3,1,64,10,8,4,1.0360335068096551,66.59574468085107,True,7,1.0677600407838246,73.82978723404256,0.9629297017162787,0.6872340425531915,0.6747586190972403,3413.940153489,40687,41.491546238298625,samples_4700_lr_0.008_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7
7050,7050,5640,705,705,0.008,0.5,reduce_on_validation_loss_plateau,1,0.001,0.001,3,1,64,10,10,6,0.7712204520809924,75.88652482269504,True,7,0.7990499760181702,77.4468085106383,0.7747937275052751,0.7574468085106383,0.7501284166942956,6390.996820165,40687,41.42754181560231,samples_7050_lr_0.008_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7
10000,9964,7990,987,987,0.008,0.5,reduce_on_validation_loss_plateau,1,0.001,0.001,3,1,64,10,10,8,0.8123142110870266,77.30496453900709,False,7,0.8600384283444528,77.9128672745694,0.8225302813299635,0.7649442755825735,0.7649731405549535,9048.666215837,40687,41.40230754002293,samples_10000_lr_0.008_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7
4700,4700,3760,470,470,0.002,0.5,reduce_on_validation_loss_plateau,1,0.001,0.001,1,1,64,10,10,9,0.9554654147383281,71.27659574468085,False,7,1.0220639000921747,70.85106382978724,0.9433683171124796,0.723404255319149,0.720147873148234,4249.647272029,40687,41.756312368082206,samples_4700_lr_0.002_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7
4700,4700,3760,470,470,0.004,0.5,reduce_on_validation_loss_plateau,1,0.001,0.001,2,1,64,10,10,7,0.9052330874522279,73.40425531914893,False,7,0.9894023032057728,73.61702127659574,0.9153001259233117,0.7276595744680852,0.7214408888110712,4247.398074264998,40687,41.45471810638327,samples_4700_lr_0.004_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7
4700,4700,3760,470,470,0.012,0.5,reduce_on_validation_loss_plateau,1,0.001,0.001,4,1,64,10,8,4,0.9563829624958059,71.27659574468085,True,7,0.9830121299068674,74.68085106382979,0.923008498112173,0.7063829787234043,0.6941197941244623,3410.4850037170036,40687,41.42828155957606,samples_4700_lr_0.012_pad_1_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7
4700,4700,3760,470,470,0.008,0.5,reduce_on_validation_loss_plateau,1,0.001,0.001,3,0,64,10,10,7,1.0943076668831175,69.14893617021278,False,7,1.164240844517803,71.06382978723404,1.0509733039612998,0.6893617021276596,0.6835853313509881,2705.400132061004,16111,26.3906708404241,samples_4700_lr_0.008_pad_0_epochs_10_h64_decay0.5_plateau1_minlr0.001_es4_min7
