max_samples_requested,samples_used,train_samples,validation_samples,test_samples,learning_rate,padding,epochs,final_validation_loss,final_validation_accuracy,test_loss,test_accuracy,macro_f1,training_and_test_seconds,model_parameters,mean_inference_ms,run_id
2350,2350,1880,235,235,0.008,1,10,1.694429033147909,69.7872340425532,1.550494786932822,0.6553191489361702,0.6459877592856317,1802.3792975550004,76527,35.09324209787357,samples_2350_lr_0.008_pad_1_epochs_10
4700,4700,3760,470,470,0.008,1,10,1.2476719055708623,71.27659574468085,1.2107006015861588,0.7276595744680852,0.7190237097259126,3616.385545489,76527,35.00475652340646,samples_4700_lr_0.008_pad_1_epochs_10
7050,7050,5640,705,705,0.008,1,10,0.9275026534406526,73.75886524822694,1.0472175767676646,0.7319148936170212,0.7333902093546595,5399.648282830001,76527,34.908899170211775,samples_7050_lr_0.008_pad_1_epochs_10
10000,9964,7990,987,987,0.008,1,10,1.0947177313405454,74.87335359675785,1.079381215989669,0.7365754812563323,0.7337062446524798,7618.534768510999,76527,34.631229473147656,samples_10000_lr_0.008_pad_1_epochs_10
