max_samples_requested,samples_used,train_samples,validation_samples,test_samples,learning_rate,padding,epochs,final_validation_loss,final_validation_accuracy,test_loss,test_accuracy,macro_f1,training_and_test_seconds,model_parameters,mean_inference_ms,run_id
4700,4700,3760,470,470,0.008,0,10,1.485616784196213,66.80851063829788,1.2885149804671165,0.6893617021276596,0.6858188283294608,2356.098007374996,27375,23.27696198298462,samples_4700_lr_0.008_pad_0_epochs_10
4700,4700,3760,470,470,0.008,1,10,1.2476719055708623,71.27659574468085,1.2107006015861588,0.7276595744680852,0.7190237097259126,3616.385545489,76527,35.00475652340646,samples_4700_lr_0.008_pad_1_epochs_10
