max_samples_requested,samples_used,train_samples,validation_samples,test_samples,learning_rate,padding,epochs,final_validation_loss,final_validation_accuracy,test_loss,test_accuracy,macro_f1,training_and_test_seconds,model_parameters,mean_inference_ms,run_id
2350,2350,1880,235,235,0.008,1,10,1.694429033147909,69.7872340425532,1.550494786932822,0.6553191489361702,0.6459877592856317,1802.3792975550004,76527,35.09324209787357,samples_2350_lr_0.008_pad_1_epochs_10
4700,4700,3760,470,470,0.008,1,10,1.2476719055708623,71.27659574468085,1.2107006015861588,0.7276595744680852,0.7190237097259126,3616.385545489,76527,35.00475652340646,samples_4700_lr_0.008_pad_1_epochs_10
7050,7050,5640,705,705,0.008,1,10,0.9275026534406526,73.75886524822694,1.0472175767676646,0.7319148936170212,0.7333902093546595,5399.648282830001,76527,34.908899170211775,samples_7050_lr_0.008_pad_1_epochs_10
10000,9964,7990,987,987,0.008,1,10,1.0947177313405454,74.87335359675785,1.079381215989669,0.7365754812563323,0.7337062446524798,7618.534768510999,76527,34.631229473147656,samples_10000_lr_0.008_pad_1_epochs_10
4700,4700,3760,470,470,0.002,1,10,1.040877914308197,69.57446808510637,0.9479664262901222,0.725531914893617,0.7228908545973141,3614.7746780140005,76527,34.587593023404246,samples_4700_lr_0.002_pad_1_epochs_10
4700,4700,3760,470,470,0.004,1,10,1.1549677334180515,70.85106382978724,1.0339999904166672,0.725531914893617,0.7196362042235889,3642.5005764589987,76527,36.25126864680305,samples_4700_lr_0.004_pad_1_epochs_10
4700,4700,3760,470,470,0.012,1,10,1.4881270550665668,71.48936170212767,1.411835895044344,0.674468085106383,0.6656059778860018,3833.582330237994,76527,37.87955168936218,samples_4700_lr_0.012_pad_1_epochs_10
4700,4700,3760,470,470,0.008,0,10,1.485616784196213,66.80851063829788,1.2885149804671165,0.6893617021276596,0.6858188283294608,2356.098007374996,27375,23.27696198298462,samples_4700_lr_0.008_pad_0_epochs_10
