max_samples_requested,samples_used,train_samples,validation_samples,test_samples,learning_rate,padding,epochs,final_validation_loss,final_validation_accuracy,test_loss,test_accuracy,macro_f1,training_and_test_seconds,model_parameters,mean_inference_ms,run_id
4700,4700,3760,470,470,0.002,1,10,1.040877914308197,69.57446808510637,0.9479664262901222,0.725531914893617,0.7228908545973141,3614.7746780140005,76527,34.587593023404246,samples_4700_lr_0.002_pad_1_epochs_10
4700,4700,3760,470,470,0.004,1,10,1.1549677334180515,70.85106382978724,1.0339999904166672,0.725531914893617,0.7196362042235889,3642.5005764589987,76527,36.25126864680305,samples_4700_lr_0.004_pad_1_epochs_10
4700,4700,3760,470,470,0.008,1,10,1.2476719055708623,71.27659574468085,1.2107006015861588,0.7276595744680852,0.7190237097259126,3616.385545489,76527,35.00475652340646,samples_4700_lr_0.008_pad_1_epochs_10
4700,4700,3760,470,470,0.012,1,10,1.4881270550665668,71.48936170212767,1.411835895044344,0.674468085106383,0.6656059778860018,3833.582330237994,76527,37.87955168936218,samples_4700_lr_0.012_pad_1_epochs_10
