run_id,epoch,online_train_loss,online_train_accuracy,validation_loss,validation_accuracy,epoch_seconds
samples_4700_lr_0.008_pad_0_epochs_10,1,2.6376894997155818,29.81382978723404,1.68760634996176,49.57446808510638,234.01974887899996
samples_4700_lr_0.008_pad_0_epochs_10,2,1.3845859725435974,57.3936170212766,1.3712577799761851,58.08510638297872,234.37214534699888
samples_4700_lr_0.008_pad_0_epochs_10,3,1.0138770839188347,68.11170212765958,1.2144210574117562,61.91489361702127,235.0781781889964
samples_4700_lr_0.008_pad_0_epochs_10,4,0.8383399757729084,72.81914893617021,1.1486133848082063,64.68085106382979,229.2852008310001
samples_4700_lr_0.008_pad_0_epochs_10,5,0.7105469189215327,75.90425531914894,1.120892447647636,65.95744680851064,234.78447872700053
samples_4700_lr_0.008_pad_0_epochs_10,6,0.594925230804381,78.93617021276596,1.3618473777220372,63.191489361702125,234.90554815700307
samples_4700_lr_0.008_pad_0_epochs_10,7,0.5345884432295407,81.75531914893617,1.204579669491233,66.17021276595744,234.35061033000238
samples_4700_lr_0.008_pad_0_epochs_10,8,0.46547438747988856,82.92553191489361,1.2399226025601013,65.1063829787234,237.60947910899995
samples_4700_lr_0.008_pad_0_epochs_10,9,0.4214592222502634,84.28191489361701,1.3129458819732824,68.72340425531915,237.0883637789957
samples_4700_lr_0.008_pad_0_epochs_10,10,0.3465366091037054,87.2340425531915,1.485616784196213,66.80851063829788,233.66287326999736
