true_label,predicted_label,count,rate_within_true_class
0,O,27,0.54
F,f,26,0.52
L,I,16,0.32
1,L,13,0.26
1,I,11,0.22
g,9,11,0.22
I,1,10,0.2
f,F,10,0.2
q,9,10,0.2
L,1,9,0.18
O,0,9,0.18
q,g,9,0.18
5,S,8,0.16
Z,2,8,0.16
g,q,7,0.14
2,Z,6,0.12
9,q,6,0.12
I,L,6,0.12
Y,4,5,0.1
8,q,4,0.08
9,g,4,0.08
H,N,4,0.08
J,I,4,0.08
a,2,4,0.08
g,a,4,0.08
4,Y,3,0.06
6,b,3,0.06
8,g,3,0.06
D,O,3,0.06
K,X,3,0.06
