class_index,label,unicode,precision,recall,f1,support,correct
0,0,48,0.5454545454545454,0.2857142857142857,0.37499999999999994,21,6
1,1,49,0.46875,0.7142857142857143,0.5660377358490566,21,15
2,2,50,0.9166666666666666,0.5238095238095238,0.6666666666666667,21,11
3,3,51,0.8260869565217391,0.9047619047619048,0.8636363636363636,21,19
4,4,52,0.7391304347826086,0.8095238095238095,0.7727272727272727,21,17
5,5,53,0.9285714285714286,0.6190476190476191,0.742857142857143,21,13
6,6,54,0.7619047619047619,0.7619047619047619,0.7619047619047619,21,16
7,7,55,0.8,0.9523809523809523,0.8695652173913043,21,20
8,8,56,0.6538461538461539,0.8095238095238095,0.7234042553191489,21,17
9,9,57,0.6470588235294118,0.5238095238095238,0.5789473684210527,21,11
10,A,65,0.68,0.8095238095238095,0.7391304347826089,21,17
11,B,66,0.9333333333333333,0.6666666666666666,0.7777777777777778,21,14
12,C,67,0.875,0.6666666666666666,0.7567567567567567,21,14
13,D,68,0.8095238095238095,0.8095238095238095,0.8095238095238095,21,17
14,E,69,0.72,0.8571428571428571,0.782608695652174,21,18
15,F,70,0.4482758620689655,0.6190476190476191,0.52,21,13
16,G,71,0.875,0.6666666666666666,0.7567567567567567,21,14
17,H,72,0.8947368421052632,0.8095238095238095,0.8500000000000001,21,17
18,I,73,0.631578947368421,0.5714285714285714,0.6,21,12
19,J,74,0.8888888888888888,0.7619047619047619,0.8205128205128205,21,16
20,K,75,0.8571428571428571,0.5714285714285714,0.6857142857142857,21,12
21,L,76,0.47058823529411764,0.38095238095238093,0.42105263157894735,21,8
22,M,77,1.0,0.9047619047619048,0.9500000000000001,21,19
23,N,78,0.7916666666666666,0.9047619047619048,0.8444444444444444,21,19
24,O,79,0.5,0.8571428571428571,0.631578947368421,21,18
25,P,80,0.782608695652174,0.8571428571428571,0.8181818181818182,21,18
26,Q,81,0.7619047619047619,0.7619047619047619,0.7619047619047619,21,16
27,R,82,0.7391304347826086,0.8095238095238095,0.7727272727272727,21,17
28,S,83,0.6785714285714286,0.9047619047619048,0.7755102040816326,21,19
29,T,84,0.9375,0.7142857142857143,0.8108108108108109,21,15
30,U,85,0.75,0.5714285714285714,0.6486486486486486,21,12
31,V,86,0.7391304347826086,0.8095238095238095,0.7727272727272727,21,17
32,W,87,1.0,0.7142857142857143,0.8333333333333333,21,15
33,X,88,0.8181818181818182,0.8571428571428571,0.8372093023255814,21,18
34,Y,89,0.68,0.8095238095238095,0.7391304347826089,21,17
35,Z,90,0.75,1.0,0.8571428571428571,21,21
36,a,97,0.6521739130434783,0.7142857142857143,0.6818181818181819,21,15
37,b,98,0.8181818181818182,0.8571428571428571,0.8372093023255814,21,18
38,d,100,0.7,1.0,0.8235294117647058,21,21
39,e,101,0.8695652173913043,0.9523809523809523,0.909090909090909,21,20
40,f,102,0.4117647058823529,0.3333333333333333,0.36842105263157887,21,7
41,g,103,0.3888888888888889,0.3333333333333333,0.358974358974359,21,7
42,h,104,0.7777777777777778,0.6666666666666666,0.717948717948718,21,14
43,n,110,0.6956521739130435,0.7619047619047619,0.7272727272727272,21,16
44,q,113,0.4166666666666667,0.47619047619047616,0.4444444444444445,21,10
45,r,114,1.0,0.8095238095238095,0.8947368421052632,21,17
46,t,116,0.8666666666666667,0.6190476190476191,0.7222222222222222,21,13
